Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-08-18 00:00:00-04:00,1338.0,1365.5,1337.75,1362.75,11335,0.0,0.0
2023-08-21 00:00:00-04:00,1369.0,1386.75,1364.5,1370.0,13759,0.0,0.0
2023-08-22 00:00:00-04:00,1369.5,1381.0,1341.75,1351.5,8855,0.0,0.0
2023-08-23 00:00:00-04:00,1350.25,1362.25,1333.75,1359.5,16285,0.0,0.0
2023-08-24 00:00:00-04:00,1359.5,1370.75,1352.0,1365.75,8107,0.0,0.0
2023-08-25 00:00:00-04:00,1364.0,1382.0,1361.25,1381.0,14320,0.0,0.0
2023-08-28 00:00:00-04:00,1388.25,1400.75,1383.75,1395.25,10112,0.0,0.0
2023-08-29 00:00:00-04:00,1382.75,1394.0,1380.5,1382.0,9140,0.0,0.0
2023-08-30 00:00:00-04:00,1378.5,1391.75,1366.75,1381.25,9727,0.0,0.0
2023-08-31 00:00:00-04:00,1381.0,1381.0,1360.0,1360.0,853,0.0,0.0
2023-09-01 00:00:00-04:00,1362.0,1374.0,1355.0,1356.25,422,0.0,0.0
2023-09-05 00:00:00-04:00,1359.5,1359.5,1348.0,1349.0,85,0.0,0.0
2023-09-06 00:00:00-04:00,1365.5,1365.5,1359.5,1360.25,102,0.0,0.0
2023-09-07 00:00:00-04:00,1349.5,1350.0,1345.0,1345.0,310,0.0,0.0
2023-09-08 00:00:00-04:00,1339.0,1349.5,1339.0,1349.5,198,0.0,0.0
2023-09-11 00:00:00-04:00,1352.5,1352.5,1352.0,1352.5,36,0.0,0.0
2023-09-12 00:00:00-04:00,1348.75,1348.75,1331.75,1331.75,274,0.0,0.0
2023-09-13 00:00:00-04:00,1325.5,1336.0,1325.5,1336.0,201,0.0,0.0
2023-09-14 00:00:00-04:00,1343.75,1343.75,1343.75,1343.75,138778,0.0,0.0
2023-09-15 00:00:00-04:00,1360.5,1367.75,1338.25,1340.25,114647,0.0,0.0
2023-09-18 00:00:00-04:00,1340.0,1344.5,1315.5,1316.75,137195,0.0,0.0
2023-09-19 00:00:00-04:00,1315.0,1319.75,1308.0,1315.5,138842,0.0,0.0
2023-09-20 00:00:00-04:00,1315.25,1322.75,1310.25,1320.0,112121,0.0,0.0
2023-09-21 00:00:00-04:00,1319.75,1322.0,1293.0,1293.75,140563,0.0,0.0
2023-09-22 00:00:00-04:00,1294.0,1303.0,1292.5,1296.25,121669,0.0,0.0
2023-09-25 00:00:00-04:00,1295.25,1300.0,1284.5,1297.75,101011,0.0,0.0
2023-09-26 00:00:00-04:00,1299.25,1307.75,1289.0,1302.75,135125,0.0,0.0
2023-09-27 00:00:00-04:00,1302.75,1317.0,1297.5,1303.25,146484,0.0,0.0
2023-09-28 00:00:00-04:00,1303.0,1307.0,1287.0,1300.5,151183,0.0,0.0
2023-09-29 00:00:00-04:00,1300.5,1305.5,1272.5,1275.0,169945,0.0,0.0
2023-10-02 00:00:00-04:00,1272.5,1279.5,1265.75,1277.0,156106,0.0,0.0
2023-10-03 00:00:00-04:00,1276.5,1278.75,1256.75,1272.75,191994,0.0,0.0
2023-10-04 00:00:00-04:00,1272.0,1285.0,1268.75,1273.0,126709,0.0,0.0
2023-10-05 00:00:00-04:00,1271.75,1283.75,1262.0,1280.75,143482,0.0,0.0
